,feature,importance_gain,importance_split
0,due_amt,273119.8857951015,1319
1,due_date_day,32215.371920466423,3391
2,default_amt_max,157043.46720972937,261
3,default_amt_mean,36969.04947710037,150
4,default_amt_min,137014.73246246576,245
5,default_times,11485.40863378346,271
6,default_times_pct,769270.6652425304,500
7,first_prepay_days_max,3772551.003149271,7259
8,first_prepay_days_mean,2208676.2890688106,10144
9,first_prepay_days_min,0.0,0
10,first_prepay_days_mode,1345493.3792845607,5960
11,first_prepay_due_amt_max,1001.7887473702431,66
12,first_prepay_due_amt_mean,5360.986289739609,55
13,first_prepay_due_amt_min,18476.87812885642,90
14,max_continue_repay_times_once,33728.93850529194,141
15,mean_coninue_repay_times_once,5552.765189766884,94
16,normal_amt_max,134215.53864000738,229
17,normal_amt_mean,52217.2170817852,177
18,normal_amt_min,94574.67756277323,326
19,normal_times,56999.7421272248,425
20,normal_times_pct,551031.4316124804,307
21,prepay_days_max,133405.36329507828,953
22,prepay_days_mean,55816.56454271078,534
23,prepay_days_mode,73760.15847086906,1154
24,prepay_time,74980.79013332352,918
25,prepay_time_pct,60551.35667548701,1261
26,weighted_amt_max,767.1695747748017,87
27,weighted_amt_mean,6799.538339465857,220
28,weighted_amt_min,51591.05360898841,658
29,last_12_bhmonth_type1_cnt,1108.5371953845024,98
30,last_12_bhmonth_type1_dawn_click_pct,148.22932922840118,31
31,last_12_bhmonth_type1_max_click_cnt_day,65.80820101499557,8
32,last_12_bhmonth_type1_max_cnt_day,120.15523254871368,23
33,last_12_bhmonth_type1_max_cnt_day_dawn,47.63289999961853,7
34,last_12_bhmonth_type1_max_cnt_hour,43.803131103515625,7
35,last_12_bhmonth_type1_mean_cnt_day,298.2643520832062,55
36,last_12_bhmonth_type1_mean_cnt_day_dawn,130.33054995536804,16
37,last_12_bhmonth_type1_mean_cnt_hour,159.46930062770844,24
38,last_12_bhmonth_type1_min_cnt_day,75.10381281375885,11
39,last_12_bhmonth_type1_std_cnt_day,250.0425010919571,36
40,last_12_bhmonth_type1_std_cnt_day_dawn,118.84714370965958,18
41,last_12_bhmonth_type1_std_cnt_hour,161.73027503490448,24
42,last_12_bhmonth_type23_cnt,488.38646122813225,63
43,last_12_bhmonth_type23_dawn_click_pct,83.83350735902786,21
44,last_12_bhmonth_type23_max_click_cnt_day,200.69244331121445,27
45,last_12_bhmonth_type23_max_cnt_day,169.54770839214325,32
46,last_12_bhmonth_type23_max_cnt_day_dawn,11.390710353851318,2
47,last_12_bhmonth_type23_max_cnt_hour,54.05536997318268,7
48,last_12_bhmonth_type23_mean_cnt_day,146.06848031282425,33
49,last_12_bhmonth_type23_mean_cnt_day_dawn,30.143730267882347,8
50,last_12_bhmonth_type23_mean_cnt_hour,55.76831167936325,13
51,last_12_bhmonth_type23_min_cnt_day,161.0853786468506,26
52,last_12_bhmonth_type23_std_cnt_day,216.00245893001556,34
53,last_12_bhmonth_type23_std_cnt_day_dawn,111.42203879356384,20
54,last_12_bhmonth_type23_std_cnt_hour,47.40064978599548,9
55,last_1_bhmonth_type1_cnt,302.6976677775383,55
56,last_1_bhmonth_type1_dawn_click_pct,224.5341847538948,43
57,last_1_bhmonth_type1_max_click_cnt_day,392.1422778367996,24
58,last_1_bhmonth_type1_max_cnt_day,134.2102285400033,31
59,last_1_bhmonth_type1_max_cnt_day_dawn,11.645215034484863,5
60,last_1_bhmonth_type1_max_cnt_hour,57.26845979690552,8
61,last_1_bhmonth_type1_mean_cnt_day,270.0375670939684,47
62,last_1_bhmonth_type1_mean_cnt_day_dawn,63.94341593980789,14
63,last_1_bhmonth_type1_mean_cnt_hour,24.070369958877563,5
64,last_1_bhmonth_type1_min_cnt_day,99.26950296014547,18
65,last_1_bhmonth_type1_std_cnt_day,179.58421936631203,41
66,last_1_bhmonth_type1_std_cnt_day_dawn,81.36459691822529,25
67,last_1_bhmonth_type1_std_cnt_hour,126.8980005979538,22
68,last_1_bhmonth_type23_cnt,413.3924545645714,59
69,last_1_bhmonth_type23_dawn_click_pct,47.747639894485474,6
